40270	One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness	sadness
10271	Like if you aggravate me constantly, byeeeeeeee	anger
20271	Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch #shocking	joy
30271	Not untill today has anyone ever said to me they remember what I had on over 7 years ago when they met me n liked me since #cutealert #happy	fear
40271	My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru  #tumblr	sadness
10272	@Lexual__ @jdspielman10 RIP to the 100s of black men,, women,CHILDREN killed in Chicago. Where is the outrage?	anger
20272	#ntfc mourinho is worried,  bringing Ibra  and Rushford on.  #panic	joy
30272	The object of literature is to make man a wiser and happier being. The poet makes us happy because he tells us how we may become so.	fear
40272	From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. #sad	sadness
10273	Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours l...	anger
20273	@latenightdaryun pfft, as if anyone undergoing the constant ongoing horror of sapient consciousness has any trust in themself anyway	joy
30273	Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*	fear
40273	@DoubleEph sadly his best days are behind him	sadness
10274	hitting your children as discipline because you're being quite a raging hypocrite if you're not.	anger
20274	Librarians scare me	joy
30274	@DuncM1981 @pmallon72 At the risk of being blocked I thought that video from the wake was hilarious.	fear
40274	@groovydadad @MHChat 🙂ty I often conflate the two depression + sadness, but they are very different. This q reminded me of that #mhchat	sadness
10275	sorry im so #bitter i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i like&gt;	anger
20275	@SherriEShepherd because #whitepeople are #afraid of large #blackmen?	joy
30275	I want the smoky clouds of laughter to swim about you forever more..	fear
40275	Don't let the behavior of others destroy ur inner peace.' -Dalai Lama @OWNTV #healing #depression #anxiety #intuition #meditation #book	sadness
10276	@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.	anger
20276	@iSmashFizzle that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times #anxiety	joy
30276	I'm a cheery ghost.	fear
40276	@AerLingus #business class #Los Angeles to Dublin #destroyed luggage #60 day customer response time #unhappy customer	sadness
10277	@JuliaHB1 Bloody right 	anger
20277	@mikebairdMP @AndrewConstance @nswtaxi how many sex cases u need before u guys learn UBER is shocking to the consumer unregulated	joy
30277	Watch this amazing live.ly broadcast by @elise_awsome_11 #lively #musically	fear
40277	@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;)	sadness
10278	i have so much hw tonight im offended	anger
20278	@ashish_geol @getPakistanTV @HamidMirGEO .. Have you give thought to Khalistaan? \nNo concern of you Baluchistan !! Kashmir is an Issue.	joy
30278	Watch this amazing live.ly broadcast by @footballrocks123456 #lively #musically	fear
40278	stg I been in pine bluff all morning and to piss me off even more, my damn shoes came in as a size 4!!!!!! I KNOW I SAID 6🙄🙄🙄🙄 FML	sadness
10279	Like hello? I am your first born you must always laugh at my jokes. #offended	anger
20279	Democracy doesn't work\n#mob #mentality #mass #hysteria #fear #mongering #oligarchy	joy
30279	Watch this amazing live.ly broadcast by @maisiev  #musically	fear
40279	@Ashleyavitia_ don't leave me 	sadness
10280	the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation.  #fatalism	anger
20280	I want to slide into the dms but im too fucking shy 	joy
30280	@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal	fear
40280	@PaulJonMilne too grim, too insanely, determined to hurt you from	sadness
10281	Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES 	anger
20281	Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is #shocking	joy
30281	@alyankovic I really wish I could attend the show at RCMH. I'm there in spirit, cheering you and the dudes on! :)	fear
40281	@comicfire The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly.	sadness
10282	and apparently he's supposed to have a Scottish accent??? I'm #offended	anger
20282	A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. 	joy
30282	@Dubai92 try asking for a cheeseburger with only onion &amp; mustard at any #McDonalds #hilarious	fear
40282	@keyshamackie it's fucking dreadful for live footy matches	sadness
10283	seek to conduct attacks against Israel, intended to provoke a reaction that would further inflame feeling within the Islamic world”. •	anger
20283	@Miami4Trump Yeah, but bad part is the #terrorism #terror Muslims won't be the ones leaving #ObamaLegacy #nationalsecurity #disaster #Obama	joy
30283	Accept the challenges so that you can feel the exhilaration of victory. #FocusX10 #motivation #motivationalquotes #quoteoftheday	fear
40283	Eating an egg is grim, you are eating the material embodiment of a fart and an unborn chick	sadness
